,Strain Name,Type,Rating,Rating Users,Top Terpene,Feeling_1,Negative_1,Helps with_1,Feeling_2,Negative_2,Helps with_2,Feeling_3,Negative_3,Helps with_3,Feeling_4,Negative_4,Helps with_4,Feeling_5,Negative_5,Helps with_5,THC,CBD,Flavor_1,Flavor_2,Flavor_3
1182,Tora Bora,Indica,4.5,104.0,Myrcene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Sleepy,Paranoid,Insomnia,Euphoric,Headache,Anxiety,Uplifted,,Inflammation,13.0,9.0,Sweet,Earthy,Woody
1183,Gorilla Sap,Hybrid,4.8,4.0,Myrcene,Uplifted,Dry eyes,Stress,Talkative,Dry mouth,Depression,Energetic,Anxious,Eye pressure,Happy,,Fatigue,Focused,,Headaches,19.0,0.0,Citrus,,
1184,Mountain Girl x Grape Ape,Hybrid,4.0,1.0,Myrcene,Uplifted,Anxious,Depression,Tingly,Dizzy,Fatigue,Relaxed,Dry mouth,Headaches,Hungry,Paranoid,Inflammation,Energetic,,Insomnia,18.0,0.0,Grape,,
1185,Cookies Kush,Indica,4.5,314.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Sleepy,Dizzy,Pain,Euphoric,Paranoid,Insomnia,Hungry,Anxious,Depression,16.0,0.0,Sweet,Pungent,Earthy
1186,Dream Girl,Hybrid,4.4,8.0,Myrcene,Happy,Dry mouth,Depression,Talkative,Anxious,Headaches,Energetic,Dizzy,Stress,Uplifted,Dry eyes,,Tingly,Paranoid,,13.0,11.0,Blueberry,,
1187,Medusa,Hybrid,3.9,66.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Euphoric,Dizzy,Insomnia,Creative,Anxious,Pain,Uplifted,Headache,Depression,15.0,0.0,Sweet,Pungent,Earthy
1188,Charlie Sheen,Hybrid,4.5,168.0,Limonene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Dizzy,Depression,Uplifted,Anxious,Anxiety,Sleepy,Paranoid,Headaches,17.0,11.0,Lemon,Sweet,Earthy
1189,Scooby Snacks,Hybrid,4.6,208.0,Limonene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Headache,Pain,Uplifted,Dizzy,Anxiety,Sleepy,,Insomnia,23.0,0.0,Earthy,Sweet,Pine
1190,Purple Power,Sativa,4.5,22.0,Pinene,Relaxed,Dry mouth,Lack of appetite,Happy,Dry eyes,Stress,Euphoric,Headache,Muscle spasms,Uplifted,Dizzy,Anxiety,Energetic,Paranoid,Depression,16.0,6.0,Pungent,Earthy,Flowery
1191,303 Kush,Indica,4.2,80.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Uplifted,Dizzy,Depression,Euphoric,Anxious,Insomnia,Sleepy,,Anxiety,20.0,1.0,Earthy,,
1192,Dirty Old Bastard,Indica,4.1,8.0,Myrcene,Relaxed,Dry eyes,Depression,Uplifted,Dry mouth,Lack of appetite,Happy,,Pain,Euphoric,,Stress,Hungry,,,19.0,0.0,Earthy,Woody,Sweet
1193,Skunkberry,Hybrid,4.5,85.0,Myrcene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Euphoric,Paranoid,Anxiety,Uplifted,Anxious,Depression,Talkative,Dizzy,Lack of appetite,17.0,1.0,Skunk,Berry,Blueberry
1194,Critical Kush,Indica,4.4,686.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Sleepy,Dizzy,Insomnia,Euphoric,Anxious,Depression,Uplifted,Paranoid,Anxiety,18.0,9.0,Earthy,Woody,Flowery
1195,Blueberry Blast,Sativa,4.5,31.0,Myrcene,Euphoric,Dizzy,Anxiety,Happy,Anxious,Depression,Energetic,Dry mouth,Fatigue,Uplifted,Dry eyes,Lack of appetite,Talkative,Paranoid,Stress,19.0,11.0,Blueberry,Berry,Citrus
1196,Gremlin,Hybrid,4.5,10.0,Caryophyllene,Euphoric,Dry mouth,Epilepsy,Uplifted,Dry eyes,Headaches,Tingly,Paranoid,Seizures,Relaxed,,Anxiety,Hungry,,,14.0,0.0,Sweet,Pungent,Citrus
1197,Haoma,Indica,4.4,13.0,Myrcene,Uplifted,Dry mouth,Pain,Relaxed,Dry eyes,Inflammation,Happy,,Muscle spasms,Energetic,,Stress,Talkative,,Anxiety,18.0,4.0,Berry,Citrus,Sweet
1198,Blue Wreck,Hybrid,4.7,38.0,Terpinolene,Happy,Dry mouth,Stress,Euphoric,Dizzy,Pain,Relaxed,Dry eyes,Depression,Uplifted,Anxious,Headaches,Hungry,Paranoid,Anxiety,15.0,1.0,Skunk,Blueberry,Earthy
1199,Qleaner,Hybrid,4.3,37.0,Myrcene,Happy,Dry mouth,Pain,Uplifted,Anxious,Stress,Euphoric,Dry eyes,Depression,Energetic,Dizzy,Nausea,Relaxed,Headache,Anxiety,17.0,7.0,Citrus,Tropical,Flowery
1200,Poison Fruit,Hybrid,4.4,12.0,Caryophyllene,Euphoric,Dry eyes,Depression,Sleepy,Dry mouth,Stress,Relaxed,,Anxiety,Happy,,PTSD,Tingly,,,18.0,0.0,Sweet,,
1201,Sour Cookies,Hybrid,4.4,118.0,Caryophyllene,Relaxed,Dry mouth,Depression,Happy,Dry eyes,Pain,Uplifted,Anxious,Stress,Euphoric,Paranoid,Anxiety,Talkative,Dizzy,Inflammation,21.0,6.0,Diesel,Earthy,Pungent
1202,Martian Candy,Hybrid,4.6,33.0,Myrcene,Relaxed,Dry mouth,Anxiety,Happy,Dry eyes,Stress,Uplifted,Anxious,Depression,Euphoric,Paranoid,Fatigue,Creative,,Insomnia,22.0,0.0,Sweet,Pine,Orange
1203,Full Moon,Sativa,4.8,31.0,Myrcene,Uplifted,Dry eyes,Depression,Energetic,Dry mouth,Stress,Happy,Anxious,Fatigue,Euphoric,Dizzy,ADD,Creative,Paranoid,Anxiety,13.0,9.0,Earthy,Citrus,Tropical
1204,Big Kush,Hybrid,4.4,15.0,Limonene,Uplifted,Anxious,Nausea,Relaxed,Dizzy,Pain,Euphoric,Dry eyes,Stress,Happy,Dry mouth,Depression,Energetic,,Insomnia,20.0,0.0,Pine,Citrus,Lemon
1205,Kush Cleaner,Hybrid,4.6,20.0,Myrcene,Relaxed,Dry mouth,Stress,Euphoric,Dry eyes,Depression,Happy,Headache,Headaches,Sleepy,Paranoid,Insomnia,Hungry,,Lack of appetite,19.0,0.0,Woody,Pine,Earthy
1206,Cherry Thunder Fuck,Hybrid,4.8,37.0,Myrcene,Happy,Dry mouth,Anxiety,Euphoric,Dry eyes,Stress,Uplifted,Paranoid,Depression,Relaxed,,Pain,Focused,,PTSD,18.0,0.0,Pungent,Sweet,Berry
1207,Blue Kiss,Hybrid,4.8,9.0,Limonene,Relaxed,Dry eyes,Headaches,Talkative,Dry mouth,Lack of appetite,Hungry,Dizzy,Nausea,Focused,,Stress,Euphoric,,Spinal cord injury,21.0,0.0,Sweet,Berry,Blueberry
1208,Rocklock,Indica,4.4,59.0,Myrcene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Creative,Anxious,Depression,Euphoric,Dizzy,Insomnia,Uplifted,Headache,Muscle spasms,19.0,0.0,Earthy,Woody,Sweet
1209,White Empress,Indica,4.4,7.0,Myrcene,Euphoric,Dry mouth,Depression,Uplifted,Anxious,Fatigue,Happy,Dry eyes,Stress,Tingly,,ADD,Relaxed,,Anxiety,18.0,8.0,Sweet,Citrus,Earthy
1210,Tahoe OG,Hybrid,4.4,1372.0,Limonene,Relaxed,Dry mouth,Stress,Sleepy,Dry eyes,Pain,Happy,Dizzy,Insomnia,Euphoric,Paranoid,Anxiety,Hungry,Headache,Depression,18.0,0.0,Earthy,,
1211,Diablo,Indica,4.0,319.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Dizzy,Anxiety,Uplifted,Paranoid,Insomnia,Sleepy,Headache,Depression,20.0,1.0,Spicy/Herbal,Sweet,Pungent
1212,Bubblegum Kush,Indica,4.3,374.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Dizzy,Pain,Sleepy,Anxious,Anxiety,Uplifted,Paranoid,Insomnia,4.0,9.0,Sweet,Spicy/Herbal,Earthy
1213,Ken's Kush,Hybrid,4.3,35.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Anxious,Insomnia,Aroused,,Anxiety,Focused,,Depression,20.0,7.0,Grape,,
1214,Orange Diesel,Hybrid,4.5,86.0,Myrcene,Happy,Dry mouth,Stress,Euphoric,Dry eyes,Anxiety,Uplifted,Paranoid,Depression,Relaxed,Anxious,Fatigue,Energetic,Dizzy,ADD,17.0,6.0,Orange,Diesel,Sweet
1215,Strawberry Mango Haze,Sativa,4.4,26.0,Myrcene,Happy,Anxious,Depression,Uplifted,Paranoid,Fatigue,Euphoric,Dry eyes,Stress,Focused,Dry mouth,Anxiety,Energetic,,PTSD,19.0,7.0,Strawberry,Spicy/Herbal,Grape
1216,White Dragon,Indica,4.3,24.0,Myrcene,Relaxed,Dizzy,Pain,Tingly,Dry eyes,PTSD,Hungry,Dry mouth,Insomnia,Happy,Anxious,Stress,Sleepy,Paranoid,Anxiety,22.0,1.0,Earthy,Woody,Spicy/Herbal
1217,Flaming Cookies,Indica,4.3,23.0,Limonene,Relaxed,Dizzy,Pain,Happy,Dry eyes,Stress,Euphoric,Dry mouth,Anxiety,Sleepy,Paranoid,Insomnia,Tingly,Anxious,Depression,15.0,0.0,Spicy/Herbal,Diesel,Lemon
1218,Space Candy,Hybrid,4.6,110.0,Caryophyllene,Happy,Dry mouth,Stress,Relaxed,Anxious,Depression,Uplifted,Dry eyes,Anxiety,Euphoric,Dizzy,Pain,Creative,Paranoid,Fatigue,18.0,0.0,Sweet,Earthy,Berry
1219,Treasure Island,Hybrid,4.7,26.0,Myrcene,Relaxed,Dry mouth,Stress,Focused,Anxious,Anxiety,Uplifted,Dry eyes,Pain,Happy,,Depression,Tingly,,Inflammation,6.0,10.0,Spicy/Herbal,Citrus,Earthy
1220,Jack's Dream,Hybrid,4.3,23.0,Myrcene,Focused,Dry mouth,Depression,Uplifted,Paranoid,Fatigue,Energetic,Anxious,Pain,Creative,Dizzy,Stress,Talkative,Dry eyes,Anxiety,18.0,11.0,Blueberry,,
1221,Hashbar OG,Indica,4.5,22.0,Limonene,Relaxed,Dry mouth,Lack of appetite,Happy,Dry eyes,Stress,Euphoric,,Anxiety,Sleepy,,Insomnia,Uplifted,,Depression,20.0,0.0,Sweet,Earthy,Skunk
1222,Flo OG,Indica,4.4,68.0,Limonene,Relaxed,Dry eyes,Stress,Happy,Dry mouth,Pain,Euphoric,Dizzy,Depression,Sleepy,Anxious,Anxiety,Uplifted,Paranoid,Headaches,18.0,0.0,Earthy,Sweet,Pungent
