,Strain Name,Flavors
1278,Strawberry Blondie,"['Strawberry', 'Tropical', 'Sweet']"
1279,Black Velvet,"['Sweet', 'Flowery', 'Citrus']"
1280,Serious 6,"['Spicy/Herbal', 'Woody', 'Chemical']"
1281,Dreamers Glass,"['Earthy', 'Skunk', 'Sweet']"
1282,The OX,"['Coffee', 'Earthy', 'Pungent']"
1283,Haze Berry,"['Berry', 'Sweet', 'Pungent']"
1284,Goldberry,"['Blueberry', 'Ammonia', 'Mint']"
1285,Rocky Mountain High,"['Earthy', 'Skunk', 'Citrus']"
1286,Rare Dankness #1,"['Berry', 'Earthy', 'Pungent']"
1287,Russian Assassin,"['Earthy', 'Diesel', 'Woody']"
1288,Or,"['Earthy', 'Flowery', 'Berry']"
1289,Bubble Cheese,"['Cheese', 'Pungent', 'Earthy']"
1290,Brains Damage,"['Earthy', 'Diesel', 'Grapefruit']"
1291,White Knight,"['Earthy', 'Sweet', 'Pungent']"
1292,Nicole Kush,"['Earthy', 'Sweet', 'Pungent']"
1293,Opal OG Kush,"['Sweet', 'Earthy', 'Pine']"
1294,Medicine Woman,"['Earthy', 'Diesel', 'Pine']"
1295,Holy Ghost,"['Spicy/Herbal', 'Pine', 'Diesel']"
1296,VOTS AZ Super Sour OG,"['Earthy', 'Pungent', 'Diesel']"
1297,Sour Jilly,"['Tropical', 'Berry', 'Sweet']"
1298,Seattle Blue,"['Sweet', 'Flowery', 'Berry']"
1299,White Dragon,"['Earthy', 'Woody', 'Spicy/Herbal']"
1300,Silver Train,"['Pine', 'Spicy/Herbal', 'Sweet']"
1301,Devil Fruit,"['Spicy/Herbal', 'Citrus', 'Skunk']"
1302,Tina Danza,"['Earthy', 'Pine', 'Berry']"
1303,Organic Diesel,"['Pungent', 'Flowery', 'Diesel']"
1304,Crypt,"['Sweet', 'Cheese', 'Pungent']"
1305,Star Master Kush,"['Pungent', 'Earthy', 'Citrus']"
1306,Double Dutch,"['Tar', 'Sweet', 'Pungent']"
1307,Flaming Cookies,"['Spicy/Herbal', 'Diesel', 'Lemon']"
1308,Alien Dutchess,"['Pine', 'Spicy/Herbal', 'Earthy']"
1309,Beastmode 2.0,"['Woody', 'Lemon', 'Pine']"
1310,Tropical Tang,"['Citrus', 'Apricot', 'Earthy']"
1311,Day Tripper,"['Sweet', 'Blueberry', 'Citrus']"
1312,Juliet,"['Skunk', 'Pine', 'Sweet']"
1313,Astroboy,"['Sweet', 'Flowery', 'Citrus']"
1314,Purple Bud,"['Sweet', 'Spicy/Herbal', 'Blueberry']"
1315,Colorado Chem,"['Mint', 'Pine', 'Menthol']"
1316,Earthquake,"['Woody', 'Pine', 'Earthy']"
1317,Martian Candy,"['Sweet', 'Pine', 'Orange']"
1318,Vader OG,"['Sweet', 'Earthy', 'Flowery']"
1319,Black Afghan,"['Earthy', 'Spicy/Herbal', 'Pine']"
1320,Superstar,"['Citrus', 'Flowery', 'Earthy']"
1321,WMD,"['Berry', 'Sweet', 'Earthy']"
1322,Catfish,"['Earthy', 'Ammonia', 'Chemical']"
1323,Double OG,"['Earthy', 'Skunk', 'Flowery']"
1324,L’Eagle Eagle,"['Pungent', 'Lemon', 'Cheese']"
1325,3D CBD,"['Woody', 'Pine', 'Tea']"
1326,Juicy Jack,"['Earthy', 'Flowery', 'Pungent']"
1327,Sour Poison,"['Citrus', 'Pine', 'Diesel']"
1328,Cabbage Patch,"['Sweet', 'Berry', 'Blueberry']"
1329,OCD,"['Tar', '', '']"
1330,Bloo’s Kloos,"['Sweet', 'Berry', 'Blueberry']"
1331,Afternoon Delight,"['Citrus', 'Grapefruit', 'Apricot']"
1332,Panama Punch,"['Orange', 'Citrus', 'Pineapple']"
1333,Appalachia,"['Earthy', 'Pine', 'Flowery']"
1334,MILF,"['Sweet', 'Earthy', 'Sage']"
1335,Buffalo Bill,"['Earthy', 'Woody', 'Pine']"
1336,Durban Cheese,"['Citrus', 'Cheese', 'Earthy']"
1337,Cherry Cookies,"['Sweet', 'Berry', 'Earthy']"
1338,Blueberry Blast,"['Blueberry', 'Berry', 'Citrus']"
1339,Critical 47,"['Earthy', 'Mango', 'Skunk']"
1340,Mothers Finest,"['Earthy', 'Lemon', 'Sweet']"
1341,Pineapple Purps,"['Earthy', 'Sweet', 'Pineapple']"
1342,K1,"['Pine', 'Ammonia', 'Sage']"
1343,Legend OG,"['Diesel', 'Lavender', 'Pungent']"
1344,Blueberry Lambsbread,"['Blueberry', 'Sweet', 'Berry']"
1345,Milky Way,"['Spicy/Herbal', 'Tropical', 'Earthy']"
1346,Wonder Haze,"['Honey', 'Earthy', 'Pungent']"
1347,Atomical Haze,"['Earthy', 'Woody', 'Chemical']"
1348,WSU,"['Pine', 'Earthy', 'Berry']"
1349,Purple Dog Shit,"['Pungent', 'Lavender', 'Skunk']"
1350,Tangerine Man,"['Citrus', 'Orange', 'Grapefruit']"
1351,Sequoia Strawberry,"['Berry', 'Strawberry', 'Sweet']"
1352,Rocky Dennis,"['Earthy', 'Diesel', 'Pungent']"
1353,Platinum Huckleberry Cookies,"['Flowery', 'Earthy', 'Spicy/Herbal']"
1354,Twista,"['Sweet', 'Sage', 'Flowery']"
1355,Blackberry Cream,"['Pungent', 'Berry', 'Sweet']"
1356,Butterscotch,"['Sweet', 'Earthy', 'Pungent']"
1357,Purple Power,"['Pungent', 'Earthy', 'Flowery']"
1358,Crouching Tiger Hidden Alien,"['Earthy', 'Flowery', 'Pungent']"
1359,Sexxpot,"['Earthy', 'Pungent', 'Coffee']"
1360,Golden Panda,"['Sweet', 'Pungent', 'Citrus']"
1361,Captain America OG,"['Citrus', 'Sweet', 'Earthy']"
1362,Blackberry Diesel,"['Diesel', 'Berry', 'Pungent']"
1363,Cherries Jubilee,"['TreeFruit', 'Berry', 'Sweet']"
1364,Yoda’s Brain,"['Earthy', 'Pungent', 'Diesel']"
1365,Pink Starburst,"['Sweet', 'Flowery', 'Tropical']"
1366,Afghanica,"['Sweet', 'Tea', 'Woody']"
1367,Tommy’s Home Grown,"['Earthy', 'Spicy/Herbal', 'Tropical']"
1368,NY Cheese,"['Earthy', 'Cheese', 'Pine']"
1369,Alien Sour Apple,"['Apple', 'Citrus', 'Sweet']"
1370,Lemon Marmalade,"['Lemon', 'Sweet', 'Citrus']"
1371,Jack’s Dream,"['Berry', 'Blueberry', 'Grape']"
1372,P-91,"['Pungent', 'Berry', 'Skunk']"
1373,Sonic Screwdriver,"['Earthy', 'Citrus', 'Woody']"
1374,Moon Cookies,"['Earthy', 'Citrus', 'Blueberry']"
1375,OG Los Angeles Kush,"['Earthy', 'Citrus', 'Pungent']"
1376,Dieseltonic,"['Diesel', 'Citrus', 'Flowery']"
1377,Motavation,"['Pungent', 'Sweet', 'Lemon']"
1378,C3PO,"['Pine', 'Citrus', 'Lemon']"
1379,White Sangria,"['Woody', 'Earthy', 'Skunk']"
1380,Frida,"['Citrus', 'Lemon', 'Woody']"
1381,Royal Chemdawg,"['Lemon', 'Diesel', 'Citrus']"
1382,Hibiscus Sunrise,"['Flowery', 'Lavender', 'Sweet']"
1383,Himalayan Blackberry,"['Berry', 'Sweet', 'Earthy']"
1384,Larry Bird Kush,"['Orange', 'Earthy', 'Mint']"
1385,Bedica,"['Earthy', 'Pungent', 'Woody']"
1386,Emperor Cookie Dough,"['Earthy', 'Honey', 'Chestnut']"
1387,Grape Valley Kush,"['Grape', 'Flowery', 'Plum']"
1388,Ninja Fruit,"['Grape', 'Sweet', 'Woody']"
1389,Chem’s Sister,"['Chemical', 'Diesel', 'Citrus']"
1390,Wreckage,"['Earthy', 'Sage', 'Lemon']"
1391,Toxic Punch,"['Berry', 'Pine', 'Lemon']"
1392,Banana Peel,"['Sweet', 'TreeFruit', 'Diesel']"
1393,Jawa Pie,"['Skunk', 'Earthy', 'Sweet']"
1394,Kona Gold,"['Tropical', 'Pineapple', 'Mango']"
1395,Rocky Mountain Blueberry,"['Sweet', 'Grape', 'Mint']"
1396,Atmosphere,"['Pungent', 'Woody', 'Spicy/Herbal']"
1397,Glue Tech,"['Pungent', 'Skunk', 'Earthy']"
1398,CBD Critical Mass,"['Lemon', 'Earthy', 'Sweet']"
1399,Megalodon,"['Earthy', 'Skunk', 'Woody']"
1400,Swiss Gold,"['Diesel', 'Citrus', 'Earthy']"
1401,Super Bud,"['Skunk', 'Citrus', 'Flowery']"
1402,Buddha’s Hand,"['Citrus', 'Lemon', 'Pungent']"
1403,Garlic Bud,"['Earthy', 'Spicy/Herbal', 'Pungent']"
1404,C13 Haze,"['Earthy', 'Pungent', 'Pepper']"
1405,Big Sky OG,"['Citrus', 'Pungent', 'Diesel']"
1406,Moonwalker Kush,"['Earthy', 'Tropical', 'Pine']"
1407,Lambo OG,"['Pine', 'Citrus', 'Tropical']"
1408,Haze Wreck,"['Woody', 'Sage', 'Sweet']"
1409,Quebec Gold,"['Citrus', 'Lemon', 'Orange']"
1410,Pokie,"['Butter', 'Sweet', 'Earthy']"
1411,One to One,"['Woody', 'Lemon', 'Nutty']"
1412,Gemstone,"['Flowery', 'Earthy', 'TreeFruit']"
1413,Quin-N-Tonic,"['Sweet', 'Blueberry', 'Pungent']"
1414,Harry Potter,"['Sweet', 'Citrus', 'Lime']"
1415,Cotton Purple Chem,"['Sweet', 'Earthy', 'Berry']"
1416,Purple People Eater,"['Grape', 'Berry', 'Tropical']"
1417,Kushadelic,"['Earthy', 'Pungent', 'Pine']"
1418,Neptune Kush,"['Honey', 'Sweet', 'Citrus']"
1419,Loud Scout,"['Grape', 'Sweet', 'Tropical']"
1420,Frisian Duck,"['Pine', 'Woody', 'Sweet']"
1421,Pink Death Star,"['Earthy', 'Pepper', 'Spicy/Herbal']"
1422,Ash,"['Pungent', 'Skunk', 'Spicy/Herbal']"
1423,Cascadia Kush,"['Flowery', 'Sweet', 'Earthy']"
1424,Slimer OG,"['Earthy', 'Sweet', 'Citrus']"
1425,Purple Maui,"['Grape', 'Pine', 'Earthy']"
1426,Cherry Durban Poison,"['Citrus', 'Flowery', 'Sweet']"
1427,Versace,"['Lemon', 'Flowery', 'Earthy']"
1428,Aliens On Moonshine,"['Pine', 'Diesel', 'Earthy']"
1429,Supergirl,"['Spicy/Herbal', 'Earthy', 'Woody']"
1430,Denver Maple,"['Earthy', 'Citrus', 'Flowery']"
1431,Bloodhound,"['Earthy', 'Sage', 'Spicy/Herbal']"
1432,Magnum PI,"['Citrus', 'Pungent', 'Grapefruit']"
1433,The Wife,"['Earthy', 'Woody', 'Nutty']"
1434,Blucifer,"['Blueberry', 'Pungent', 'Sage']"
1435,Cherry Cream Pie,"['Earthy', 'Pine', 'Flowery']"
1436,California Sour,"['Diesel', 'Flowery', 'Pungent']"
1437,Grandpas Breath,"['Earthy', 'Diesel', 'Pungent']"
1438,Afghan Sour Kush,"['Sweet', 'Sage', 'Earthy']"
1439,Deep Cheese,"['Cheese', 'Pungent', 'Skunk']"
1440,Elephant,"['Sweet', 'Tropical', 'Earthy']"
1441,Sweet Lafayette,"['Citrus', 'Earthy', 'Pine']"
1442,Harmonia,"['Earthy', 'Woody', 'Sage']"
1443,XXX 420,"['Honey', 'Earthy', 'Woody']"
1444,Island Maui Haze,"['Citrus', 'Mango', 'Tropical']"
1445,Everlast,"['Flowery', 'Spicy/Herbal', 'Earthy']"
1446,Ghost OG Moonshine,"['Earthy', 'Vanilla', 'Coffee']"
1447,B.B. King,"['Lemon', 'Blueberry', 'Citrus']"
1448,Kaia Kush,"['Spicy/Herbal', 'Lemon', 'Sweet']"
1449,Azure Haze,"['Sweet', 'Blueberry', 'Berry']"
1450,Balmoral,"['Pungent', 'Earthy', 'Cheese']"
1451,B4,"['Spicy/Herbal', 'Berry', 'Skunk']"
1452,Orange Turbo,"['Citrus', 'Orange', 'Diesel']"
1453,Kill Bill,"['Rose', 'Pungent', 'Diesel']"
1454,Swiss Tsunami,"['Citrus', 'Orange', 'Earthy']"
1455,Alien Abduction,"['Sweet', 'Earthy', 'Nutty']"
1456,American Dream,"['Earthy', 'Pungent', 'Woody']"
1457,Brandywine,"['Flowery', 'Spicy/Herbal', 'Earthy']"
1458,Clementine Kush,"['Citrus', 'Orange', 'Earthy']"
1459,Salmon River OG,"['Sweet', 'Earthy', 'Spicy/Herbal']"
1460,Mega Jackpot,"['Flowery', 'Berry', 'Strawberry']"
1461,LAPD,"['Diesel', 'Pepper', 'Pungent']"
1462,Starry Night,"['Lemon', 'Pine', 'TreeFruit']"
1463,Full Moon,"['Earthy', 'Citrus', 'Tropical']"
1464,Blackberry Chem OG,"['Citrus', 'TreeFruit', 'Earthy']"
1465,Dakini Kush,"['Coffee', 'Berry', 'Skunk']"
1466,Purple Martian Kush,"['Sweet', 'Grape', 'Pine']"
1467,X-Wing,"['Earthy', 'Pine', 'Pungent']"
1468,Sour Patch Kiss,"['Sweet', 'Tropical', 'Citrus']"
1469,Ayahuasca Purple,"['Grape', 'Sweet', 'Berry']"
1470,Thai-Tanic,"['Earthy', 'Woody', 'Spicy/Herbal']"
1471,Whitaker Blues,"['Sweet', 'Apple', 'Pear']"
1472,Rose Bud,"['Rose', 'Flowery', 'Sweet']"
1473,Cactus Cooler,"['Earthy', 'Orange', 'Citrus']"
1474,Legalized OG,"['Diesel', 'Pungent', 'Spicy/Herbal']"
1475,Special Kush #1,"['Earthy', 'Spicy/Herbal', 'Woody']"
1476,Dragon OG,"['Sweet', 'Earthy', 'Pungent']"
1477,Bluniverse,"['Berry', 'Sweet', 'Menthol']"
1478,Lemonder,"['Lemon', 'Citrus', 'Lavender']"
1479,Yogi Diesel,"['Diesel', 'Citrus', 'Pine']"
1480,Purple Bush,"['Sweet', 'Berry', 'Grape']"
1481,Royal Dwarf,"['Pine', 'Skunk', 'Lemon']"
1482,Haze Heaven,"['Pungent', 'Spicy/Herbal', 'Sweet']"
1483,Jacked-Up,"['Berry', 'Citrus', 'Flowery']"
1484,G13 Widow,"['Flowery', 'Earthy', 'Mint']"
1485,Hashbar OG,"['Sweet', 'Earthy', 'Skunk']"
1486,Enemy of the State,"['Sweet', 'Flowery', 'Earthy']"
1487,Nice Cherry,"['Sweet', 'Berry', 'Pungent']"
1488,Gog & Magog,"['Pungent', 'Sweet', 'Flowery']"
1489,Hustler Kush,"['Sweet', 'Earthy', 'Pine']"
1490,Mt. Rainier,"['Earthy', 'Woody', 'Skunk']"
1491,Cosmic Collision,"['Sweet', 'Mint', 'Earthy']"
1492,Puna Budder,"['Sweet', 'Pine', 'Skunk']"
1493,Early Skunk,"['Flowery', 'Earthy', 'Woody']"
1494,Cherry Pie Kush,"['Earthy', 'Sweet', 'Pungent']"
1495,Sour Dubble,"['Diesel', 'Spicy/Herbal', 'Woody']"
1496,Orange Blossom,"['Orange', 'Citrus', 'Sweet']"
1497,Black Cherry Pie,"['Berry', 'Sweet', 'Pungent']"
1498,Sin City Kush,"['Grape', 'Sweet', 'Pine']"
1499,Kali Dog,"['Citrus', 'Earthy', 'Lemon']"
1500,Gobbilygoo,"['Berry', 'Grape', 'Lavender']"
1501,Tree of Life,"['Earthy', 'Spicy/Herbal', 'Woody']"
1502,Reclining Buddha,"['Citrus', 'Flowery', 'Berry']"
1503,Anonymous OG,"['Earthy', 'Diesel', 'Citrus']"
1504,Citrus Punch,"['Citrus', 'Lime', 'Lemon']"
1505,Blob OG,"['Pine', 'Citrus', 'Earthy']"
1506,Tropic Thunder,"['Pineapple', 'Tropical', 'Mango']"
1507,Bediol,"['Citrus', 'Lemon', 'Mango']"
1508,Blue Kripple,"['Berry', 'Grape', 'Butter']"
1509,Blackberry Pie,"['Sweet', 'Blueberry', 'Berry']"
1510,Industrial Plant,"['Lemon', 'Tropical', 'Spicy/Herbal']"
1511,Brainwreck,"['Citrus', 'Earthy', 'Sweet']"
1512,OCAs Cloud 9,"['Citrus', 'Sweet', 'Flowery']"
1513,Pink Pez,"['Citrus', 'Sweet', 'Grapefruit']"
1514,Tiger Woods,"['Sweet', 'Flowery', 'Pungent']"
1515,Fruitylicious,"['Sweet', 'Blueberry', 'Earthy']"
1516,Critical Skunk,"['Skunk', 'Pungent', 'Earthy']"
1517,Shark Bite,"['Tropical', 'Pungent', 'Sweet']"
1518,Blue Monster,"['Berry', 'Diesel', 'Blueberry']"
1519,Blaze,"['Blueberry', 'Sweet', 'Spicy/Herbal']"
1520,Killer Grape,"['Grape', 'Berry', 'Tropical']"
1521,SleeSkunk,"['Skunk', 'Pine', 'Spicy/Herbal']"
1522,Night Train,"['Pungent', 'Woody', 'Nutty']"
1523,Blue Thai,"['Earthy', 'Woody', 'Sweet']"
1524,Outlaw,"['Earthy', 'Sweet', 'Citrus']"
1525,Triple Cheese,"['Cheese', 'Skunk', 'Pungent']"
1526,Blue Zkittlez,"['Sweet', 'Citrus', 'Berry']"
1527,Agent Tangie,"['Citrus', 'Earthy', 'Skunk']"
1528,Ebola #7,"['Sweet', 'Spicy/Herbal', 'Pine']"
1529,Critical Kali Mist,"['Earthy', 'Sweet', 'Pine']"
1530,Trix,"['Sweet', 'Berry', 'Grape']"
1531,Star Berry Indica,"['Berry', 'Sweet', 'Citrus']"
1532,Guido Kush,"['', '', '']"
1533,Chem D.O.G.,"['Diesel', 'Menthol', 'Earthy']"
1534,South Indian Sativa,"['Skunk', 'Earthy', 'Mango']"
1535,Django,"['Sweet', 'Flowery', 'Earthy']"
1536,Durga Mata,"['Earthy', 'Pungent', 'Citrus']"
1537,The Blood,"['Earthy', 'Sweet', 'Tropical']"
1538,Oteils Egyptian Kush,"['Earthy', 'Pungent', 'Woody']"
1539,Tillamook Strawberry,"['Strawberry', 'Diesel', 'Chemical']"
1540,Jackalope,"['Citrus', 'Earthy', 'Flowery']"
1541,Swiss Bliss,"['Citrus', 'Earthy', 'Lime']"
1542,White Smurf,"['Mint', 'Menthol', 'Citrus']"
1543,White Kryptonite,"['Sweet', 'Berry', 'Pungent']"
1544,Hawaiian Thunder Fuck,"['Sweet', 'Tropical', 'Pineapple']"
1545,Travel Joint,"['Lime', 'Earthy', 'Lemon']"
1546,Atomic Goat,"['Spicy/Herbal', 'Nutty', 'Sage']"
1547,Sour Chunk,"['Sweet', 'Earthy', 'Diesel']"
1548,Faygo Red Pop,"['Sweet', 'Strawberry', 'Berry']"
1549,Pakistan Valley Kush,"['Earthy', 'Spicy/Herbal', 'Tea']"
1550,Lemon Larry Lavender,"['Lemon', 'Citrus', 'Lavender']"
1551,Buckeye Purple,"['Grape', 'Berry', 'Diesel']"
1552,Ganesh Berry,"['Flowery', 'Berry', 'Sweet']"
1553,Sierra Mist,"['Citrus', 'Diesel', 'Sweet']"
1554,NY-47,"['Diesel', 'Citrus', 'Grapefruit']"
1555,Purple Sage,"['Sage', 'Sweet', 'Lemon']"
1556,Blue Persuasion,"['Sweet', 'Blueberry', 'Berry']"
1557,Terminator OG,"['Pungent', 'Sweet', 'Pine']"
1558,Blue Zombie,"['Earthy', 'Coffee', 'Woody']"
1559,Petrolia Headstash,"['Pungent', 'Earthy', 'Sweet']"
1560,Alien Reunion,"['Pungent', 'Skunk', 'Cheese']"
1561,Sojay Haze,"['Citrus', 'Honey', 'Lemon']"
1562,91 Krypt,"['Earthy', 'Pungent', 'Diesel']"
1563,California Grapefruit,"['Grapefruit', 'Pepper', 'Sweet']"
1564,Batman OG,"['Sage', 'Pine', 'Earthy']"
1565,Illuminati OG,"['Earthy', 'Sweet', 'Pungent']"
1566,Skywalker Alien,"['Earthy', 'Diesel', 'Lemon']"
1567,Devil’s Tit,"['Tropical', 'Spicy/Herbal', 'Sweet']"
1568,Race Fuel OG,"['Diesel', 'Earthy', 'Sweet']"
1569,Molokai Frost,"['Tropical', 'Earthy', 'Pungent']"
1570,Ladyburn 1974,"['Earthy', 'Woody', 'Spicy/Herbal']"
1571,Middlefork x Pineapple Express,"['Sweet', 'Grape', 'Lime']"
1572,KC 33,"['Citrus', 'Lemon', 'Sweet']"
1573,Maui Haole,"['Pungent', 'Tropical', 'Earthy']"
1574,Oregon Pinot Noir,"['Grape', 'Sweet', 'Berry']"
1575,Arjan’s Ultra Haze #1,"['Mint', 'Earthy', 'Sweet']"
1576,Turbo Mind Warp,"['Flowery', 'Earthy', 'Diesel']"
1577,Jungle Juice,"['Flowery', 'Citrus', 'Earthy']"
1578,Tangie Dream,"['Orange', 'Citrus', 'Sweet']"
1579,Kiwiskunk,"['Sweet', 'Skunk', 'Earthy']"
1580,Ultra Sour,"['Diesel', 'Earthy', 'Lemon']"
1581,Dizzy OG,"['Pungent', 'Sweet', 'Spicy/Herbal']"
1582,Arabian Gold,"['', '', '']"
1583,Jane Doe,"['Sweet', 'Berry', 'Citrus']"
1584,Diesel Duff,"['Sweet', 'Flowery', 'Honey']"
1585,Tembo Kush,"['Sweet', 'Berry', 'Earthy']"
1586,Ogre Berry,"['Sweet', 'Mint', 'Citrus']"
1587,Nevil’s Wreck,"['Earthy', 'Sage', 'Pine']"
1588,Marcosus Marshmellow,"['Mint', 'Orange', 'Tropical']"
1589,Chem Crush,"['Sweet', 'Earthy', 'Pungent']"
1590,Extreme OG,"['Orange', 'Flowery', 'Lime']"
1591,Chocolate Thunder,"['Honey', 'Nutty', 'Spicy/Herbal']"
1592,Godzilla Glue,"['Woody', 'Earthy', 'Pungent']"
1593,Rainbow Jones,"['Spicy/Herbal', 'Grape', 'Blueberry']"
1594,Rockbud,"['Skunk', 'Pungent', 'Spicy/Herbal']"
1595,Qush,"['Sweet', 'Flowery', 'Earthy']"
1596,Afghan Hawaiian,"['Sweet', 'Pineapple', 'Nutty']"
1597,Project Blue Book,"['Sweet', 'Berry', 'Earthy']"
1598,Shark Attack,"['Earthy', 'Spicy/Herbal', 'Pungent']"
1599,Lashkar Gah,"['Earthy', 'Sweet', 'Berry']"
1600,Purple Pinecone,"['Diesel', 'Citrus', 'Pineapple']"
1601,Gandalf OG,"['Sweet', 'Berry', 'Flowery']"
1602,Madagascar,"['Earthy', 'Sweet', 'Skunk']"
1603,Le Silver Royale,"['Skunk', 'Cheese', 'Woody']"
1604,Chupacabra,"['Flowery', 'Earthy', 'Pungent']"
1605,Old School OG,"['Pungent', 'Skunk', 'Earthy']"
1606,Scout’s Honor,"['Earthy', 'Flowery', 'Pungent']"
1607,East Coast Alien,"['Mint', 'Diesel', 'Earthy']"
1608,Disney Blue,"['Berry', 'Sweet', 'Grape']"
1609,Pink Mango,"['Mango', 'Tropical', 'Earthy']"
1610,Doug’s Varin,"['Lemon', 'Pine', 'Woody']"
1611,Damnesia,"['Spicy/Herbal', 'Pepper', 'Earthy']"
1612,Haoma,"['Berry', 'Citrus', 'Sweet']"
1613,CannaSutra,"['Earthy', 'Pineapple', 'Sweet']"
1614,Black Magic Kush,"['Berry', 'Earthy', 'Chemical']"
1615,Sweet Berry,"['Berry', 'Sweet', 'Sage']"
1616,Commerce City Kush,"['Earthy', 'Pungent', 'Flowery']"
1617,Tahoe Hydro OG,"['Earthy', 'Lemon', 'Diesel']"
1618,Trash,"['Chemical', 'Spicy/Herbal', 'Mint']"
1619,Johnnys Tonic,"['Skunk', 'Pungent', 'Earthy']"
1620,Super Cat Piss,"['Coffee', 'Lemon', '']"
1621,Opium,"['Earthy', 'Sweet', 'Grape']"
1622,Mint Chocolate Chip,"['Mint', 'Earthy', 'Pungent']"
1623,Sunset Haze,"['Sweet', 'Citrus', 'Flowery']"
1624,Nuggetry OG,"['Earthy', 'Pungent', '']"
1625,Sour Chocolate,"['Diesel', 'Sweet', 'Earthy']"
1626,Soul Shine,"['', '', '']"
1627,Poison Haze,"['Earthy', 'Nutty', 'Citrus']"
1628,Biddy Early,"['Sweet', 'Flowery', 'Diesel']"
1629,Shiskaquine,"['Berry', 'Sweet', 'Earthy']"
1630,Destroyer,"['Lavender', 'Ammonia', 'Sweet']"
1631,Raw Diesel,"['Earthy', 'Diesel', 'Sweet']"
1632,Gremlin,"['Sweet', 'Pungent', 'Citrus']"
1633,GI001,"['Lime', 'Lemon', 'Citrus']"
1634,Hawaiian Delight,"['Diesel', 'Flowery', 'Earthy']"
1635,Hawaiian Sunrise,"['Citrus', 'Lemon', 'Spicy/Herbal']"
1636,Jasmine,"['Lavender', 'Rose', 'Flowery']"
1637,Old Toby,"['Lime', 'Pine', 'Spicy/Herbal']"
1638,Waipi’o Hapa,"['Sweet', 'Lime', 'Mint']"
1639,Tickle Kush,"['Berry', 'Apple', 'Spicy/Herbal']"
1640,Thunderstruck,"['Earthy', 'Sweet', 'Spicy/Herbal']"
1641,Tangelo Kush,"['Peach', 'Citrus', 'Orange']"
1642,Dutch Thunder Fuck,"['Earthy', 'Sweet', 'Citrus']"
1643,Mataro Blue,"['Earthy', 'Berry', 'Sweet']"
1644,Mai Tai Cookies,"['Pepper', 'Tropical', 'TreeFruit']"
1645,Fat Purple,"['Grape', 'Berry', 'Sweet']"
1646,Bandana,"['Sweet', 'Earthy', 'Pungent']"
1647,CBD Blue Shark,"['Tea', 'Berry', 'Earthy']"
1648,Cambodian,"['Earthy', 'Woody', 'Tar']"
1649,Merlot OG,"['Earthy', 'Butter', 'Woody']"
1650,L.A.K. Federal Reserve,"['Earthy', 'Pine', 'Diesel']"
1651,Sweet Pebbles,"['Sweet', 'Berry', 'Citrus']"
1652,Crosswalker,"['Sweet', 'Blueberry', 'Tropical']"
1653,X-Files,"['Earthy', 'Citrus', 'Lavender']"
1654,Space Needle,"['Pungent', 'Pine', 'Flowery']"
1655,Marley’s Collie,"['Menthol', 'Spicy/Herbal', 'Mint']"
1656,CHR Super OG,"['Diesel', 'Sweet', 'Strawberry']"
1657,13 Dawgs,"['Apricot', 'Citrus', 'Grapefruit']"
1658,Green Cheese,"['Cheese', 'Earthy', 'Chemical']"
1659,Lemon Daddy,"['Lemon', 'Citrus', 'Earthy']"
1660,Berry Noir,"['Berry', 'Earthy', 'Sweet']"
1661,Rob Ford Kush,"['Sweet', 'Lemon', 'Honey']"
1662,Brooklyn Mango,"['Mango', 'Tropical', 'Citrus']"
1663,Velvet Bud,"['Sweet', 'Blueberry', 'Pine']"
1664,Euphoria Cookies,"['Sweet', 'Citrus', 'Blueberry']"
1665,Blue Mountain Fire,"['Flowery', 'Earthy', 'Tar']"
1666,Snow Diesel,"['Diesel', 'Sweet', 'TreeFruit']"
1667,Kauai Electric,"['Tropical', 'Earthy', 'Sweet']"
1668,Capers,"['Earthy', 'Pungent', 'Pine']"
1669,Cookie Jar,"['Earthy', 'Coffee', 'Pungent']"
1670,Ortega,"['Spicy/Herbal', 'Pepper', 'Earthy']"
1671,Peyote Cookies,"['Earthy', 'Sweet', 'Grape']"
1672,Pacific Blue,"['Earthy', 'Flowery', 'Woody']"
1673,Glass Apple,"['Apple', 'Flowery', 'Citrus']"
1674,Darkside OG,"['Lemon', 'Citrus', 'Skunk']"
1675,Big Kush,"['Pine', 'Citrus', 'Lemon']"
1676,Pineapple Purple Skunk,"['Sweet', 'Citrus', 'Pineapple']"
1677,Green Line OG,"['Sweet', 'Lime', 'Citrus']"
1678,Deep Chunk,"['Plum', 'Violet', 'Pine']"
1679,Higher Power,"['Grape', 'Flowery', 'Grapefruit']"
1680,Red Widow,"['Earthy', 'Tropical', 'Skunk']"
1681,Colorado Bubba,"['Pine', 'Nutty', 'Pepper']"
1682,Krishna Kush,"['Berry', 'Spicy/Herbal', 'Diesel']"
1683,Ms. Universe,"['Sweet', 'Pineapple', 'Berry']"
1684,Gorilla Biscuit,"['Berry', 'Citrus', 'Apple']"
1685,Kobain Kush,"['Earthy', 'Spicy/Herbal', 'Chestnut']"
1686,God’s Treat,"['Blueberry', 'Berry', 'Flowery']"
1687,Blue Buddha,"['Blueberry', 'Citrus', 'Pungent']"
1688,Q3,"['TreeFruit', 'Citrus', 'Orange']"
