,Strain Name,Feelings,Type,Cannabinoids,Rating,Rating Users,Left Parent,Right Parent,Left Child,Right Child
53,Ophelia,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
54,Dutch Treat,"{'Feelings': ['Euphoric ', 'Happy ', 'Relaxed ', 'Uplifted ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Anxious '], 'Helps with': ['Stress ', 'Anxiety ', 'Depression ', 'Pain ', 'Insomnia ']}",Hybrid,"{'THC': '19%', 'CBD': None, 'CBG': '1%'}",4.3,1019,,,,
55,Violet Delight,"{'Feelings': ['Relaxed ', 'Happy ', 'Uplifted ', 'Euphoric ', 'Talkative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Dizzy ', 'Headache '], 'Helps with': ['Depression ', 'Stress ', 'Pain ', 'Nausea ', 'Anxiety ']}",Hybrid,"{'THC': '20%', 'CBD': None, 'CBG': '1%'}",4.5,77,Green Crack,Blueberry,,
56,Berry White,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Dizzy ', 'Anxious '], 'Helps with': ['Stress ', 'Anxiety ', 'Pain ', 'Depression ', 'Insomnia ']}",Indica,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",4.4,1134,White Widow,Blueberry,,
57,Purple Tangie,"{'Feelings': ['Uplifted ', 'Happy ', 'Euphoric ', 'Energetic ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Headache ', 'Anxious ', 'Dizzy '], 'Helps with': ['Depression ', 'Stress ', 'Fatigue ', 'Pain ', 'Anxiety ']}",Sativa,"{'THC': '15%', 'CBD': None, 'CBG': '1%'}",4.6,54,Tangie,N/A,,
58,Haze Queen,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
59,Alien Reunion,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Uplifted ', 'Happy ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Dizzy ', 'Dry eyes ', 'Headache ', 'Paranoid '], 'Helps with': ['Headaches ', 'Inflammation ', 'Lack of appetite ', 'Muscle spasms ', 'Pain ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.9,12,Alien OG,Alien Dawg,,
60,Camelback OG,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
61,Lemon Diesel,"{'Feelings': ['Happy ', 'Euphoric ', 'Uplifted ', 'Relaxed ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Anxious '], 'Helps with': ['Stress ', 'Anxiety ', 'Depression ', 'Pain ', 'Fatigue ']}",Hybrid,"{'THC': '19%', 'CBD': '—', 'CBG': None}",4.2,586,Lost Coast,California Sour,,
62,Pakistan Valley,"{'Feelings': ['Relaxed ', 'Happy ', 'Sleepy ', 'Uplifted ', 'Euphoric '], 'Negatives': ['Dry mouth ', 'Dry eyes ', None, None, None], 'Helps with': ['Insomnia ', 'Pain ', 'ADD', 'PTSD ', 'Depression ']}",Indica,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.9,22,,,,
63,Puta Breath,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Hungry ', 'Happy ', 'Focused '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '23%', 'CBD': None, 'CBG': '1%'}",5.0,2,,,,
64,Ice Queen,"{'Feelings': ['Happy ', 'Uplifted ', 'Relaxed ', 'Creative ', 'Euphoric '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Headache ', 'Paranoid '], 'Helps with': ['Stress ', 'Depression ', 'Anxiety ', 'Pain ', 'ADD']}",Hybrid,"{'THC': '23%', 'CBD': None, 'CBG': '1%'}",4.6,56,White Widow,Cinderella 99,,
65,Blue Raspberry Snow Cone,"{'Feelings': ['Tingly ', 'Relaxed ', 'Happy ', 'Euphoric ', 'Creative '], 'Negatives': ['Anxious ', None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.6,11,Blue Diesel,N/A,,
