Strain Name,Type,Rating,Rating Users,Left Parent,Right parent,Left Child,Right Child,Feeling_1,Feeling_2,Feeling_3,Feeling_4,Feeling_5,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Helps with_1,Helps with_2,Helps with_3,Helps with_4,Helps with_5,THC,CBD,CBG
Bahama Blizzard,,5.0,1,,,,,Uplifted,Relaxed,Euphoric,,,,,,,,,,,,,24%,—,
Sweet Pebbles,Hybrid,4.8,12,FPOG,Sour Pebbles,,,Relaxed,Creative,Happy,Euphoric,Focused,Inflammation,Pain,Stress,PTSD,Anxiety,,,,,,21%,,1%
Destroyer,Sativa,4.6,12,Mexican,N/A,,,Energetic,Uplifted,Happy,Giggly,Euphoric,Cramps,Depression,Fatigue,Stress,Insomnia,,,,,,16%,—,
Pineapple Super Silver Haze,Sativa,4.7,52,Super Silver Haze,Pineapple,,,Happy,Uplifted,Euphoric,Creative,Energetic,Dry,Dizzy,Dry,Anxious,Paranoid,Depression,Stress,Fatigue,Anxiety,PTSD,19%,,2%
Kapricorn OG,,3.3,3,,,,,Relaxed,Hungry,Happy,,,Cramps,Depression,Nausea,Pain,Seizures,,,,,,14%,—,
Recon,Indica,4.3,125,LA Confidential,Cannadential,,,Relaxed,Euphoric,Happy,Sleepy,Hungry,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Pain,Insomnia,Anxiety,Nausea,19%,,1%
Gorilla Warfare,Hybrid,,,GG4,OG #18,,,,,,,,,,,,,,,,,,22%,—,
Black Widow,Hybrid,4.1,337,South American,South Indian Sativa,,,Happy,Relaxed,Euphoric,Uplifted,Hungry,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Pain,Anxiety,Depression,Insomnia,17%,,1%
Herb,Hybrid,,,,,,,,,,,,,,,,,,,,,,17%,,1%
Raindance,Hybrid,4.5,41,Chemdawg,Deadhead OG,,,Relaxed,Happy,Sleepy,Uplifted,Euphoric,Dry,Anxious,Dry,Dizzy,,Anxiety,Stress,Depression,Insomnia,Pain,28%,,1%
AK-OG Kush,Hybrid,5.0,1,OG Kush,AK-47,,,Relaxed,Happy,,,,Dry,,,,,Inflammation,Stress,Anxiety,,,21%,,1%
Purple OG Kush,Indica,4.4,375,OG Kush,Purple Kush,,,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Pain,Insomnia,Anxiety,Depression,16%,—,
Madagascar,Indica,4.1,9,,,,,Sleepy,Happy,Euphoric,Uplifted,Talkative,Dry,Dry,Dizzy,,,Insomnia,Stress,Anxiety,Pain,Headaches,,,
Guava Cake,Hybrid,4.3,15,Wedding Cake,N/A,,,Tingly,Relaxed,Euphoric,Happy,Giggly,Dizzy,Dry,Dry,Headache,,Depression,Headaches,Nausea,Stress,Anxiety,,,
Purple Afghan Kush,Indica,4.5,4,Bubba Kush,Purple Kush,Purple Moby Dick,Riley Kush,Relaxed,Uplifted,Sleepy,Hungry,Aroused,Dry,,,,,Pain,Stress,Headaches,Insomnia,Lack,15%,—,
Honey Bun,Hybrid,4.6,8,,,,,Relaxed,Hungry,Happy,Tingly,Uplifted,,,,,,,,,,,25%,,1%
Boysenberry ,Hybrid,3.7,26,,,,,Energetic,Creative,Uplifted,Euphoric,Happy,Dry,Dry,Paranoid,Headache,,Anxiety,Stress,Pain,Insomnia,Lack,17%,,1%
Dank Sinatra,Hybrid,4.3,18,Hash Plant,LA Affie,,,Relaxed,Happy,Uplifted,Sleepy,Giggly,Dry,Dizzy,Headache,,,Pain,Depression,Fatigue,Headaches,Insomnia,18%,,1%
Snow Leopard,Indica,4.5,53,Snow Lotus,N/A,,,Relaxed,Euphoric,Happy,Sleepy,Uplifted,Dry,Dry,Paranoid,Anxious,Dizzy,Stress,Pain,Insomnia,Anxiety,PTSD,17%,,1%
True Face,Hybrid,4.0,1,True OG,Face Off OG,,,Tingly,Sleepy,Relaxed,Euphoric,,Dizzy,,,,,Insomnia,Pain,Stress,Anxiety,Bipolar,,,
Crescendo #11,,4.4,7,,,,,Relaxed,Happy,Uplifted,Focused,Euphoric,Cramps,Depression,Pain,Stress,Anxiety,,,,,,,,
Chemo,Indica,4.4,239,,,,,Relaxed,Sleepy,Hungry,Happy,Euphoric,Dry,Dry,Dizzy,Headache,Paranoid,Pain,Insomnia,Stress,Lack,Anxiety,17%,,1%
Humble Pie,Hybrid,5.0,6,Cherry Pie,Grandpa’s Breath,,,Uplifted,Relaxed,Happy,Energetic,Creative,Anxiety,Bipolar,PTSD,Depression,Lack,,,,,,23%,,1%
Valentine X,Hybrid,4.4,21,ACDC,N/A,,,Relaxed,Creative,Uplifted,Focused,Euphoric,Dry,,,,,Anxiety,Pain,Stress,Arthritis,Depression,1%,13%,
Huckleberry,Hybrid,4.1,170,,,,,Happy,Relaxed,Euphoric,Uplifted,Creative,Dry,Dry,Dizzy,Headache,Paranoid,Stress,Pain,Anxiety,Depression,Insomnia,17%,—,
Sour Apple,Hybrid,4.2,240,Sour Diesel,Cinderella 99,Alien Sour Apple,Glitter Apples,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Headache,Dizzy,Paranoid,Stress,Depression,Anxiety,Pain,Insomnia,18%,—,
Jack of Spades,Hybrid,4.6,5,Jack the Ripper,Ace of Spades,,,Happy,Focused,Creative,Uplifted,Relaxed,,,,,,,,,,,15%,—,
Blueberry,Indica,4.3,2242,Afghani,Thai,Blue Dream,Blue Cookies,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Pain,Anxiety,Insomnia,Depression,17%,—,
Dog Face,Hybrid,5.0,1,OG Kush,Chemdawg,,,Uplifted,Talkative,Relaxed,Hungry,Happy,,,,,,,,,,,,,
Kahuna,Indica,4.2,6,Jack Herer,Super Skunk,,,Uplifted,Euphoric,Talkative,Relaxed,Happy,Dry,Dry,,,,Stress,Pain,Anxiety,Insomnia,Depression,14%,2%,
Strawberry Diesel,Hybrid,4.4,316,Strawberry Cough,NYC Diesel,Bruce Banner,Bruce Banner #3,Happy,Uplifted,Euphoric,Relaxed,Creative,Dry,Dry,Paranoid,Dizzy,Headache,Stress,Anxiety,Depression,Pain,Insomnia,16%,—,
Shark Shock,Indica,4.1,248,White Widow,Skunk 1,CBD Shark,Hammershark,Relaxed,Happy,Euphoric,Uplifted,Focused,Dry,Dry,Dizzy,Headache,Anxious,Pain,Stress,Anxiety,Depression,Inflammation,17%,,1%
Flavour Pack,Hybrid,4.0,1,Moonbow,Hollywood Pure Kush,,,Relaxed,,,,,Pain,Stress,Anxiety,Arthritis,,,,,,,22%,,1%
Early Siskiyou,,,,,,,,,,,,,,,,,,,,,,,—,11%,
Kerosene,Sativa,5.0,8,Sour Diesel,The White,,,Euphoric,Energetic,Happy,Uplifted,Talkative,Dizzy,,,,,Depression,Stress,Fatigue,Nausea,Pain,,,
Moonshine Haze,Sativa,4.3,186,Amnesia Haze,Nevil's Wreck,,,Uplifted,Happy,Energetic,Euphoric,Relaxed,Dry,Dry,Anxious,Headache,Dizzy,Depression,Stress,Anxiety,Fatigue,Pain,18%,,1%
Lemonberry,Hybrid,4.5,79,Lemon Thai,N/A,,,Happy,Relaxed,Uplifted,Euphoric,Giggly,Dry,Dizzy,Dry,Anxious,Headache,Stress,Pain,Depression,Insomnia,Anxiety,14%,—,
Grand Blue,,,,,,,,,,,,,,,,,,,,,,,16%,—,
Blueberry Sugar Cookies,,,,,,,,,,,,,,,,,,,,,,,17%,1%,
Crumbled Lime,Sativa,4.9,12,Biker Kush,N/A,,,Happy,Relaxed,Euphoric,Uplifted,Focused,Dry,Dizzy,Headache,,,Depression,Headaches,Stress,Fatigue,Lack,,,
Rainbow Zkittlez,,5.0,2,,,,,,,,,,,,,,,,,,,,,,
Serpentine OG,,5.0,1,,,,,Uplifted,Tingly,Relaxed,Happy,Giggly,,,,,,,,,,,,,
Kiss,Hybrid,4.2,11,Cheese,Afghani,,,Sleepy,Hungry,Focused,Euphoric,Creative,Dry,Paranoid,Anxious,,,Fatigue,Lack,Pain,Stress,Depression,16%,,2%
White Smurf,Hybrid,4.4,12,Northern Lights,Skunk 1,,,Talkative,Uplifted,Relaxed,Happy,Giggly,Pain,Inflammation,Arthritis,Fibromyalgia,Depression,,,,,,,,
Pineapple Skunk,Hybrid,4.4,135,Cheese,Skunk 1,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,Dry,Dizzy,Dry,Anxious,Paranoid,Stress,Pain,Anxiety,Depression,Lack,18%,,1%
Lemon Meringue,Sativa,4.6,194,Cookies and Cream,Lemon Skunk,,,Happy,Uplifted,Energetic,Creative,Focused,Dry,Dry,Anxious,Dizzy,Headache,Depression,Stress,Anxiety,Fatigue,Pain,21%,,2%
Pinkman Goo,Indica,4.6,21,,,,,Relaxed,Happy,Uplifted,Euphoric,Focused,Dry,Dry,,,,Depression,Fatigue,Inflammation,Nausea,Pain,,,
Vader OG,Indica,4.5,33,SFV OG,Larry OG,,,Relaxed,Sleepy,Happy,Euphoric,Hungry,Anxious,Dizzy,Dry,,,Stress,Insomnia,Pain,Depression,Fatigue,19%,—,
Neon Lights,Hybrid,,,,,,,,,,,,,,,,,,,,,,20%,,1%
Ethereal OG,Hybrid,,,,,,,,,,,,,,,,,,,,,,25%,,1%
Sophie's Breath,,4.0,1,,,,,,,,,,,,,,,,,,,,21%,,1%
Unicorn Tears,Hybrid,4.3,3,,,,,,,,,,,,,,,,,,,,17%,,1%
French Toast,Hybrid,5.0,2,,,,,,,,,,,,,,,,,,,,16%,—,
OGKZ,Hybrid,4.4,10,Zkittlez,OGKB,,,Uplifted,Relaxed,Euphoric,Talkative,Happy,Anxious,,,,,Anxiety,Depression,Fatigue,Insomnia,Stress,,,
A-10,Indica,3.0,164,Afghani,N/A,,,Euphoric,Creative,Happy,Uplifted,Sleepy,Dry,Dry,Paranoid,Dizzy,Headache,Pain,Stress,Anxiety,Insomnia,Migraines,11%,—,
Lunar Widow,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla Cream Pie,Hybrid,4.5,2,,,,,Sleepy,,,,,,,,,,,,,,,,,
Quebec Gold,Hybrid,4.5,17,M-39,Freezeland,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,Dry,Dry,Anxious,Dizzy,,Depression,Stress,Fatigue,Headaches,Lack,,,
Jane Doe,Hybrid,4.4,12,,,,,Happy,Euphoric,Tingly,Relaxed,Giggly,Dry,Dry,Dizzy,,,Pain,Depression,Stress,Insomnia,Muscle,20%,,1%
Banana Puff,Hybrid,,,Banana OG,N/A,,,,,,,,,,,,,,,,,,,,
GG4,Hybrid,4.6,4600,Chem Sis,N/A,Zookies,Grease Monkey,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Pain,Depression,Anxiety,Insomnia,18%,—,
Peach Puree,Hybrid,5.0,4,California Orange,Sweet Diesel,,,Uplifted,Relaxed,Hungry,Focused,Energetic,Depression,Fatigue,Stress,Anxiety,PTSD,,,,,,15%,,1%
Lemon Sour Diesel,Hybrid,4.6,8,,,,,Uplifted,Happy,Focused,Euphoric,Relaxed,Depression,Stress,Anxiety,,,,,,,,17%,,1%
Sour Garlic Cookies,,5.0,2,,,,,,,,,,,,,,,,,,,,27%,,1%
Intergalactic,Hybrid,4.6,11,GG4,N/A,,,Relaxed,Euphoric,Hungry,Tingly,Happy,Depression,Insomnia,Lack,Anxiety,Fatigue,,,,,,22%,—,
Berry Tite,Hybrid,,,,,,,,,,,,,,,,,,,,,,21%,,1%
Tonics Web,Indica,,,Charlotte's Web,N/A,,,,,,,,,,,,,,,,,,,,
Frozen Grapes,Hybrid,4.3,7,,,,,Happy,Creative,Relaxed,Sleepy,Euphoric,Dry,Headache,,,,Insomnia,Stress,Anxiety,,,25%,,1%
Ginger Punch,Hybrid,4.6,5,,,,,Uplifted,Happy,Tingly,Relaxed,Hungry,Dry,,,,,Depression,Pain,Stress,Inflammation,Insomnia,,,
Strawberry Cookies,Hybrid,4.8,5,,,,,Tingly,Aroused,,,,,,,,,,,,,,18%,,1%
Ghetto Bird,Hybrid,5.0,2,Ice Queen,Blue Heron,,,Uplifted,Happy,Focused,Energetic,,Depression,Stress,Anxiety,,,,,,,,15%,,2%
A-Dub,Hybrid,4.5,68,Sour Diesel,Chemdawg,,,Relaxed,Happy,Euphoric,Uplifted,Creative,Dry,Dry,Anxious,Headache,,Stress,Pain,Depression,Anxiety,Headaches,23%,,1%
Margalope,Hybrid,4.6,7,,,,,Relaxed,Focused,Uplifted,Tingly,Talkative,Pain,Anxiety,,,,,,,,,,,
Heisenberg Kush,Sativa,4.6,39,Blue Dream,N/A,,,Happy,Uplifted,Relaxed,Focused,Energetic,Dry,Dizzy,Dry,Headache,,Stress,Depression,Anxiety,Pain,ADD,13%,—,
Shangri-La,Hybrid,4.6,53,9 lb Hammer,N/A,,,Uplifted,Relaxed,Euphoric,Happy,Energetic,Dry,Dry,Headache,Anxious,Paranoid,Pain,Anxiety,Stress,Depression,PTSD,17%,,1%
Tahitian Punch,,5.0,3,,,,,,,,,,,,,,,,,,,,,,
Rosaberry,Hybrid,4.0,2,,,,,Sleepy,Relaxed,Euphoric,,,,,,,,,,,,,8%,7%,
Second Sight,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Lemonade,Sativa,4.3,223,Strawberry Cough,Lemon OG,,,Happy,Uplifted,Relaxed,Energetic,Euphoric,Dry,Dry,Anxious,Paranoid,Headache,Stress,Depression,Anxiety,Pain,Fatigue,21%,—,
Gumbo,Indica,4.4,59,,,,,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Dry,Headache,Dizzy,,Stress,Pain,Insomnia,Anxiety,Depression,19%,—,
LA Affie,Indica,4.6,30,Afghani,N/A,,,Relaxed,Sleepy,Euphoric,Happy,Uplifted,Dry,Dry,Headache,Dizzy,,Insomnia,Pain,Stress,Depression,Muscle,19%,,1%
Peachy Mack,Hybrid,4.5,4,Golden Pineapple,Peaches and Cream,,,Talkative,Energetic,Uplifted,Happy,Focused,Dry,,,,,Headaches,Lack,Nausea,Gastrointestinal,,,,
Sour Joker,Sativa,4.7,81,Amnesia Haze,East Coast Sour Diesel,,,Happy,Uplifted,Energetic,Focused,Euphoric,Dry,Anxious,Dry,Paranoid,Dizzy,Depression,Stress,Fatigue,Anxiety,Pain,18%,,1%
Pink Bubba,Indica,4.4,66,Bubba Kush,Pink Kush,,,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Dry,Dry,Dizzy,Headache,Anxious,Pain,Stress,Insomnia,Anxiety,Depression,18%,—,
Candy Pie,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Muddy Waters,,3.0,1,,,,,,,,,,,,,,,,,,,,,,
Amnesia OG,Sativa,4.6,12,Amnesia,Biker Kush,,,Relaxed,Uplifted,Happy,Euphoric,Focused,Dry,,,,,Stress,Anxiety,Depression,Nausea,Lack,16%,,1%
Sherb Cookies Wax,,,,,,,,,,,,,,,,,,,,,,,12%,,1%
El Chapo,Hybrid,4.3,7,,,,,Uplifted,Euphoric,Energetic,Focused,Aroused,Depression,Anxiety,,,,,,,,,22%,,1%
Cherry Meow,Hybrid,,,,,,,,,,,,,,,,,,,,,,—,5%,
Beastmode 2.0,Indica,4.5,17,White Fire OG,Master Kush,,,Relaxed,Happy,Uplifted,Euphoric,Sleepy,Dizzy,Dry,Dry,,,Pain,Stress,Insomnia,Lack,Muscle,21%,,1%
Space Monster,Indica,4.3,4,Afghani,N/A,,,,,,,,,,,,,,,,,,,,
Gaswerx,Hybrid,4.5,4,Ghost OG,Chem 91,,,Relaxed,Happy,,,,Stress,Anxiety,,,,,,,,,20%,,1%
Highlight5,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,,,
M-39,Indica,3.0,182,Skunk 1,Northern Lights #5,Quebec Gold,Murkle,Sleepy,Relaxed,Happy,Hungry,Euphoric,Dry,Dry,Headache,Dizzy,Paranoid,Stress,Anxiety,Insomnia,Pain,Depression,,,
Hawaiian Mandarin,Hybrid,,,,,,,,,,,,,,,,,,,,,,16%,,1%
Pink Lemonade,Hybrid,4.5,145,,,,,Happy,Uplifted,Energetic,Creative,Relaxed,Dry,Anxious,Dry,Headache,Dizzy,Depression,Stress,Anxiety,Pain,PTSD,17%,,1%
Qrazy Train,Hybrid,4.2,170,Trainwreck,Purple Urkle,,,Relaxed,Happy,Uplifted,Euphoric,Focused,Dry,Dry,Dizzy,Headache,Anxious,Stress,Depression,Pain,Anxiety,Insomnia,16%,,1%
Iced Widow,Indica,4.3,40,White Widow,Ice,,,Happy,Relaxed,Uplifted,Hungry,Giggly,Dry,Anxious,Paranoid,,,Stress,Depression,Insomnia,Lack,Pain,,,
Northern Wreck,Indica,4.7,84,Northern Lights,Trainwreck,,,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dry,Dry,Dizzy,Anxious,Paranoid,Pain,Stress,Depression,Anxiety,Insomnia,26%,,1%
Chloe,Hybrid,4.9,37,,,,,Happy,Euphoric,Uplifted,Relaxed,Energetic,Dry,,,,,PTSD,Depression,Insomnia,Pain,Stress,23%,,1%
Strawberry Alien Kush,Hybrid,4.3,3,Strawberry Cough,Alien Kush,,,Relaxed,Focused,,,,Depression,Insomnia,Stress,Anxiety,,,,,,,,,
Zurple Punch,Hybrid,4.7,3,,,,,,,,,,,,,,,,,,,,23%,—,
Fortes Frost,,,,,,,,,,,,,,,,,,,,,,,21%,,1%
VVS Chem,Hybrid,4.0,2,Gelato,Chem 91,,,,,,,,,,,,,,,,,,21%,,1%
Lime Haze,Sativa,4.1,34,,,,,Happy,Euphoric,Uplifted,Energetic,Creative,Dry,Dry,Dizzy,Anxious,Headache,Stress,Anxiety,Headaches,Nausea,Depression,19%,,2%
Gravity,Indica,4.1,30,Northern Lights,Hash Plant,,,Euphoric,Happy,Uplifted,Relaxed,Hungry,Dry,Dry,Dizzy,Headache,Paranoid,Stress,Pain,Insomnia,Anxiety,Depression,,,
Purple Rhino,Hybrid,4.6,36,White Rhino,Mendocino Purps,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dizzy,Dry,Anxious,Headache,Depression,Stress,Anxiety,Pain,Insomnia,20%,,1%
Buddha Haze,Sativa,4.6,46,Amnesia Haze,N/A,,,Uplifted,Happy,Euphoric,Energetic,Creative,Dry,Dry,Anxious,Dizzy,Paranoid,Depression,Stress,Pain,Lack,Anxiety,25%,,1%
Rainbow Jones,Indica,4.8,20,Granddaddy Purple,Casey Jones,,,Relaxed,Happy,Euphoric,Uplifted,Talkative,Dry,Anxious,Dry,,,Depression,Stress,Anxiety,Headaches,Inflammation,13%,—,
Orange Creamsicle,Hybrid,4.5,137,Orange Crush,Juicy Fruit,,,Happy,Uplifted,Relaxed,Euphoric,Energetic,Dry,Dry,Paranoid,Anxious,Dizzy,Anxiety,Stress,Depression,Pain,Fatigue,19%,,1%
Scarface OG,Indica,,,,,,,,,,,,,,,,,,,,,,,,
Chem Ape,,,,,,,,,,,,,,,,,,,,,,,23%,,1%
Star Berry Indica,Indica,4.6,15,Blueberry,Sensi Star,,,Relaxed,Euphoric,Creative,Uplifted,Sleepy,Dry,Paranoid,,,,Insomnia,Depression,Headaches,Nausea,Pain,20%,,1%
Blue Chem,Hybrid,5.0,1,Chemdawg,Blueberry,,,,,,,,,,,,,,,,,,18%,,1%
Waikiki Queen,Hybrid,,,,,,,,,,,,,,,,,,,,,,21%,,1%
Bert's Cookie Dough,Hybrid,5.0,3,GSC,N/A,,,Uplifted,Hungry,Happy,Energetic,Tingly,Anxiety,ADD,Arthritis,Asthma,Bipolar,,,,,,,,
Moon Train,,,,,,,,,,,,,,,,,,,,,,,22%,,1%
Pura Vida,Hybrid,4.7,13,Appalachia,N/A,,,Euphoric,Relaxed,Uplifted,Talkative,Happy,Dry,Dizzy,Dry,Paranoid,,Cramps,Depression,Fatigue,Pain,Stress,23%,—,
Wappa,Hybrid,4.3,187,,,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Dizzy,Anxious,Paranoid,Stress,Depression,Anxiety,Pain,Insomnia,20%,,1%
Hi-Octane,Hybrid,4.2,5,Sherbert,N/A,,,,,,,,,,,,,,,,,,21%,—,
Tyson,Indica,4.7,57,,,,,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Anxious,Dizzy,Dry,Paranoid,Stress,Insomnia,Lack,Muscle,Pain,,,
Black Cherry OG,Indica,4.4,105,,,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Anxious,Dry,Dizzy,Headache,Pain,Stress,Anxiety,Depression,Migraines,16%,,1%
Purple Tonic,Indica,2.7,6,,,,,Happy,Euphoric,Uplifted,Sleepy,Relaxed,Dry,Dry,,,,Stress,Depression,Insomnia,Pain,Anxiety,17%,—,
Sour Urkle,Hybrid,4.6,60,Sour Diesel,Purple Urkle,,,Relaxed,Happy,Euphoric,Hungry,Uplifted,Dry,Dry,Anxious,Dizzy,Paranoid,Pain,Depression,Stress,Fatigue,Inflammation,15%,1%,
Sour Banana Sherbet,Hybrid,4.7,205,Sour Diesel,Banana Sorbet,,,Happy,Relaxed,Euphoric,Uplifted,Focused,Dry,Dry,Anxious,Paranoid,Dizzy,Stress,Anxiety,Depression,Pain,PTSD,19%,,1%
Watermelon Mimosa,Hybrid,4.5,6,,,,,Relaxed,Uplifted,Happy,Focused,Energetic,,,,,,,,,,,27%,,1%
Tropical Gold,,4.0,1,,,,,,,,,,,,,,,,,,,,16%,—,
L.A. Cheese,Hybrid,4.8,6,,,,,Relaxed,Uplifted,Giggly,Euphoric,Creative,Dry,Dry,,,,Depression,Stress,Anxiety,PTSD,Lack,16%,,1%
Early Skunk,Hybrid,4.3,21,Skunk 1,Early Pearl,,,Focused,Happy,Relaxed,Uplifted,Energetic,Dry,Dizzy,Dry,Paranoid,,Stress,Depression,Pain,Muscle,Anxiety,17%,,1%
Filthy Animal,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,,,
Wifi 43,Indica,4.6,56,White Fire OG,N/A,Jungle Cake,Face on Fire,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Dry,,,,Insomnia,Stress,Pain,Depression,Lack,19%,—,
White Ice,Hybrid,4.8,6,Northern Lights,Afghani,,,Relaxed,Euphoric,Uplifted,Sleepy,Hungry,Dizzy,Dry,Dry,,,Stress,Depression,Insomnia,,,17%,,1%
Blue J,Sativa,5.0,3,Jillybean,N/A,,,Uplifted,Tingly,Relaxed,Happy,,,,,,,,,,,,24%,,1%
Chocoholic,Hybrid,4.0,1,,,,,Uplifted,Talkative,Sleepy,Relaxed,Happy,,,,,,,,,,,17%,—,
Fireweed,,,,,,,,,,,,,,,,,,,,,,,17%,,1%
Head Doctor,,4.0,2,,,,,Uplifted,Relaxed,Hungry,Focused,Euphoric,Dry,,,,,,,,,,20%,,1%
Chunkadelic,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Caramel Cake,Hybrid,4.8,4,,,,,Sleepy,Relaxed,Happy,Uplifted,Euphoric,,,,,,,,,,,21%,,1%
Cabbage Patch,Hybrid,4.5,22,Durban Poison,Cherry Pie,,,Relaxed,Energetic,Euphoric,Happy,Uplifted,Anxious,,,,,Fatigue,Stress,Depression,Pain,Muscle,20%,—,
Grape Train,,,,,,,,,,,,,,,,,,,,,,,21%,,1%
Burmese Kush,Hybrid,4.1,168,,,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,Dry,Dry,Headache,Paranoid,Dizzy,Stress,Pain,Anxiety,Depression,Insomnia,17%,,1%
Grape Raspberry,,,,,,,,,,,,,,,,,,,,,,,11%,—,
Nirvana,Hybrid,4.8,5,,,,,Relaxed,Happy,Euphoric,Giggly,Creative,Dry,,,,,,,,,,19%,—,
Purple Pinecone,Indica,4.5,14,,,,,Relaxed,Euphoric,Happy,Focused,Tingly,Dry,Dry,,,,Stress,Insomnia,Muscle,Pain,Anxiety,16%,—,
Cherry Pie Kush,Hybrid,4.2,20,Durban Poison,N/A,,,Happy,Uplifted,Talkative,Euphoric,Relaxed,Anxious,Dry,Dizzy,Dry,Paranoid,Stress,Pain,Depression,Anxiety,Fatigue,18%,,1%
Cali OG Kush,,3.0,1,,,,,,,,,,,,,,,,,,,,19%,,1%
Mazari,Indica,4.3,3,Skunk 1,Mazar I Sharif,,,Sleepy,Relaxed,Talkative,Hungry,Happy,Dry,Dry,,,,Muscle,Arthritis,Migraines,PMS,PTSD,17%,—,
Cloud Chaser,,,,,,,,,,,,,,,,,,,,,,,,,
Lou's Legacy,Hybrid,,,,,,,,,,,,,,,,,,,,,,21%,,1%
Alien Kush,Indica,4.2,140,Alien Dawg,LVPK,Alien OG,Gas Mask,Relaxed,Euphoric,Happy,Uplifted,Creative,Dry,Dry,Paranoid,Dizzy,Anxious,Stress,Pain,Anxiety,Depression,Insomnia,20%,,1%
Kobain Kush,Indica,4.1,14,Pre-98 Bubba Kush,White Lotus,,,Relaxed,Sleepy,Hungry,Happy,Euphoric,Dry,Anxious,Headache,,,Pain,Stress,Depression,Insomnia,Muscle,13%,,2%
Sleep and Sour,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Grape Pie,Hybrid,4.7,32,Cherry Pie,Sour Grapes,Lava Cake,Garanimals,Happy,Relaxed,Uplifted,Euphoric,Tingly,Stress,Anxiety,Depression,Pain,Insomnia,,,,,,22%,,1%
Sugar Mama,Indica,4.6,23,Blueberry,Big Bud,,,Relaxed,Euphoric,Happy,Uplifted,Creative,Dry,Dry,Anxious,,,Depression,Stress,Insomnia,Pain,Headaches,15%,—,
Chocolate Drop,Hybrid,5.0,2,Chocolate Kush,Lowryder,,,Uplifted,Relaxed,Happy,Giggly,Euphoric,Depression,Stress,Insomnia,Anxiety,PTSD,,,,,,,,
AC Tsunami,,,,,,,,,,,,,,,,,,,,,,,19%,1%,
Goldberry,Indica,4.3,27,Blueberry,Pot of Gold,,,Happy,Creative,Uplifted,Focused,Euphoric,Dry,Dry,,,,Anxiety,Stress,Pain,Depression,Fatigue,14%,,1%
Phone Home,Hybrid,5.0,1,Strawberry Banana,N/A,,,,,,,,,,,,,,,,,,22%,,1%
Conspiracy Kush,Indica,4.6,148,Obama Kush,Space Queen,Blucifer,Mossad,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Pain,Insomnia,Depression,Anxiety,19%,,1%
Blue Dot,Sativa,4.7,49,Northern Lights,Haze,,,Energetic,Uplifted,Happy,Euphoric,Focused,Dry,Headache,Anxious,Dry,Paranoid,Stress,Depression,Anxiety,Pain,Fatigue,20%,—,
Gas Dreams,,,,,,,,,,,,,,,,,,,,,,,20%,—,
Bubba Kush,Indica,4.2,3379,OG Kush,N/A,Kush Mints,Platinum Bubba Kush,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Pain,Insomnia,Anxiety,Depression,17%,—,
Blue Skatalite,,5.0,1,,,,,,,,,,,,,,,,,,,,,,
Heist OG,,,,,,,,,,,,,,,,,,,,,,,,,
Cuvee,Indica,4.3,60,Space Queen,N/A,,,Relaxed,Euphoric,Happy,Uplifted,Giggly,Anxious,Dry,Dry,Paranoid,,Stress,Anxiety,PTSD,Depression,Pain,15%,,1%
Fruit Crusher,Hybrid,4.3,4,Lemon Skunk,LSD,,,Tingly,Sleepy,Relaxed,Hungry,Happy,Dry,Dry,Headache,,,Fatigue,Headaches,Anxiety,,,20%,,1%
Kush Mountain,Indica,,,White Walker Kush,Blue Flame,,,,,,,,,,,,,,,,,,18%,—,
