Strain Name,Type,Rating,Rating Users,Left Parent,Right parent,Left Child,Right Child,Feeling_1,Feeling_2,Feeling_3,Feeling_4,Feeling_5,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Helps with_1,Helps with_2,Helps with_3,Helps with_4,Helps with_5,THC,CBD,CBG
Oregon Lemons,Hybrid,4.9,10,Lemon Diesel,N/A,,,Relaxed,Uplifted,Talkative,Giggly,Euphoric,Stress,Anxiety,Depression,Eye,Fatigue,,,,,,19%,,1%
Sonny G,,4.6,5,,,,,Uplifted,Talkative,Relaxed,Focused,Energetic,,,,,,,,,,,16%,—,
Sweet Pure CBD,Hybrid,4.8,4,,,,,Sleepy,Relaxed,Euphoric,Creative,,Dry,,,,,Anxiety,Arthritis,Fibromyalgia,,,,,
Buddha Vesta,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Incredible Hulk,Sativa,4.5,108,Jack Herer,Green Crack,,,Energetic,Uplifted,Euphoric,Happy,Focused,Dry,Dry,Dizzy,Anxious,Headache,Stress,Depression,Fatigue,Lack,Pain,16%,,1%
Blueberry Cheesecake,Hybrid,4.3,268,Blueberry,Cheese,Rebel Berry OG,Shurman,Happy,Relaxed,Euphoric,Uplifted,Creative,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Pain,Anxiety,Depression,Insomnia,18%,—,
Crosswalker,Indica,4.4,9,Blueberry,Mazar x Blueberry OG,,,Relaxed,Hungry,Happy,Focused,Euphoric,Depression,Eye,Insomnia,Pain,Spasticity,,,,,,,,
Dairy Queen,Hybrid,4.3,197,Cheese,Space Queen,,,Happy,Relaxed,Uplifted,Euphoric,Energetic,Dry,Dry,Dizzy,Headache,Anxious,Stress,Anxiety,Pain,Depression,Headaches,17%,,1%
60 Day Wonder,Hybrid,,,,,,,,,,,,,,,,,,,,,,15%,,1%
Crockett’s Dog,Hybrid,5.0,2,,,,,Happy,Giggly,Euphoric,Aroused,,Dry,,,,,,,,,,19%,,1%
Morning Flight,Hybrid,,,Mango Haze,East Coast Sour Diesel,,,,,,,,,,,,,,,,,,16%,,2%
Electric Kool Aid,Hybrid,4.7,30,Cherry Pie,Purple Diesel,,,Happy,Euphoric,Uplifted,Relaxed,Energetic,Headache,Dry,Anxious,Dry,Paranoid,Stress,Insomnia,Depression,Anxiety,PTSD,18%,—,
Grand Hustle,Hybrid,3.9,35,Green Crack,Afgoo,,,Uplifted,Creative,Relaxed,Happy,Focused,Dry,Dry,Paranoid,Dizzy,,Stress,Anxiety,Depression,Pain,Fatigue,,,
Ol Mendo Hashplant,Hybrid,,,,,,,,,,,,,,,,,,,,,,17%,,1%
Grape Tahoe OG,Hybrid,,,,,,,,,,,,,,,,,,,,,,13%,—,
Sir Lando,,4.5,2,,,,,Uplifted,Tingly,Talkative,Happy,Giggly,Depression,Cramps,Fatigue,Nausea,Anxiety,,,,,,,,
Shark Bite,Hybrid,4.2,18,,,,,Euphoric,Energetic,Uplifted,Talkative,Happy,Dry,Anxious,Dizzy,Dry,,Depression,ADD,Anxiety,Cramps,Headaches,24%,,1%
Caipirinha,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,,,
Allen Iverson OG,Indica,5.0,3,,,,,Happy,Sleepy,Relaxed,Hungry,Focused,Depression,Insomnia,Lack,Stress,Anxiety,,,,,,,,
Rotten Fruit Cocktail,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Panda Cookies,,,,,,,,,,,,,,,,,,,,,,,20%,,1%
Blanco Berry Kush,Hybrid,,,White Kush,Blackberry Pie,,,,,,,,,,,,,,,,,,10%,,1%
Three Blue Kings,Hybrid,4.5,6,Blue Dream,OG Kush,,,Relaxed,Sleepy,Tingly,Giggly,Creative,Dry,Anxious,Dry,Headache,,Depression,Insomnia,Anxiety,Lack,Stress,20%,,1%
Champagne Kush,Hybrid,4.2,180,Hash Plant,Burmese Kush,Blue Champagne,Champagne Diesel,Happy,Euphoric,Uplifted,Relaxed,Creative,Dry,Dry,Dizzy,Headache,Paranoid,Stress,Anxiety,Pain,Depression,Nausea,16%,—,
Iceberg,Hybrid,4.5,2,Granddaddy Purple,Master Kush,,,,,,,,,,,,,,,,,,,,
Jet Fuel,Hybrid,4.5,590,,,,,Happy,Uplifted,Relaxed,Euphoric,Energetic,Dry,Dry,Dizzy,Anxious,Paranoid,Stress,Depression,Pain,Anxiety,Fatigue,20%,,1%
Monkey Massacre,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Snow Diesel,Hybrid,3.4,9,ECSD,Snow Lotus,,,Uplifted,Happy,Relaxed,Hungry,Euphoric,Dry,Dry,Dizzy,,,Depression,Lack,Nausea,,,14%,,1%
Blue Knight,Indica,4.7,103,Blueberry,Kryptonite,,,Relaxed,Happy,Uplifted,Euphoric,Sleepy,Dry,Dry,Headache,Paranoid,Anxious,Stress,Pain,Depression,Anxiety,Insomnia,13%,—,
Ambulance,Hybrid,5.0,1,,,,,Pain,,,,,,,,,,,,,,,17%,,1%
True Love,Hybrid,5.0,1,Juicy Fruit,N/A,,,,,,,,,,,,,,,,,,,,
Blackberry Chem OG,Hybrid,4.2,20,Chemdawg,Blackberry,,,Euphoric,Talkative,Relaxed,Happy,Uplifted,Anxious,Dry,Headache,Paranoid,,Depression,Stress,Pain,Anxiety,PTSD,21%,—,
Thank You Jerry,Hybrid,5.0,1,Snow Dog,N/A,,,Tingly,Sleepy,Relaxed,Happy,Giggly,Anxiety,PTSD,,,,,,,,,,,
Sticky Buns,Hybrid,4.6,5,,,,,Talkative,Relaxed,Hungry,,,Dry,Headache,Paranoid,,,Anxiety,,,,,22%,,1%
Blue Kiss,Hybrid,4.8,9,DJ Short Blueberry,N/A,,,Relaxed,Talkative,Hungry,Focused,Euphoric,Dry,Dry,Dizzy,,,Headaches,Lack,Nausea,Stress,Spinal,21%,—,
Candy Chem,,,,,,,,,,,,,,,,,,,,,,,24%,,1%
Big P,,,,,,,,,,,,,,,,,,,,,,,17%,,2%
Sweet Pie,Hybrid,4.8,4,,,,,Relaxed,Happy,Euphoric,Uplifted,Tingly,,,,,,,,,,,19%,,1%
Oregon Pineapple,Hybrid,4.3,43,Master Kush,Pineapple,,,Happy,Uplifted,Relaxed,Euphoric,Energetic,Dry,Dry,,,,Depression,Stress,Anxiety,Arthritis,Pain,23%,—,
Kushashima,Hybrid,4.0,4,,,,,Sleepy,Relaxed,,,,Depression,Pain,,,,,,,,,,,
Luthers OG,,,,,,,,,,,,,,,,,,,,,,,21%,—,
Gorilla Breath,Hybrid,4.6,24,GG4,OGKB,,,Relaxed,Happy,Uplifted,Euphoric,Tingly,Dry,Dry,Dizzy,,,Anxiety,Depression,Lack,Pain,Stress,22%,,1%
5th Element,Indica,4.5,79,Blackberry,N/A,,,Relaxed,Euphoric,Happy,Uplifted,Focused,Dry,Dry,Headache,Paranoid,Anxious,Pain,Stress,Anxiety,Insomnia,Muscle,20%,—,
Krishna Kush,Indica,4.7,20,Afghani,Super Skunk,,,Relaxed,Sleepy,Happy,Euphoric,Tingly,Dizzy,Dry,Dry,,,Anxiety,Pain,Insomnia,Stress,ADD,16%,,1%
Burnt Cookies,Hybrid,4.9,7,GSC,Fire OG,,,Uplifted,Talkative,Relaxed,Tingly,Sleepy,Dry,,,,,Eye,Headaches,Stress,,,17%,,1%
Tahoe Alien,Hybrid,4.3,71,Tahoe OG,Alien Kush,Alien Rock Candy,Starfighter,Relaxed,Happy,Uplifted,Euphoric,Hungry,Dry,Dry,Anxious,Paranoid,,Stress,Pain,Depression,Insomnia,PTSD,19%,,1%
Big Lime,,,,,,,,,,,,,,,,,,,,,,,,,
Black Dominia,,5.0,1,,,,,,,,,,,,,,,,,,,,20%,,2%
Fire Alien Kush,Hybrid,4.5,60,Fire OG,Alien Kush,White Fire Alien OG,Harry Potter,Relaxed,Happy,Uplifted,Euphoric,Creative,Dry,Dry,Anxious,Paranoid,,Depression,Stress,Anxiety,Headaches,Insomnia,17%,—,
Snownado,Hybrid,4.0,1,,,,,,,,,,,,,,,,,,,,,,
Lucid Ripper,Hybrid,,,,,,,,,,,,,,,,,,,,,,19%,—,
Dark Matter,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,16%,,1%
OG Princess Glue,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Alien OG,Hybrid,4.3,3,,,,,,,,,,,,,,,,,,,,23%,—,
Sundae Float,,5.0,2,,,,,,,,,,,,,,,,,,,,—,11%,
Mashup,,1.0,1,,,,,,,,,,,,,,,,,,,,,,
Seattle Summer,Hybrid,5.0,4,Gorilla Cookies,N/A,,,Uplifted,Happy,Creative,,,,,,,,,,,,,,,
Bluesexplosion,,5.0,2,,,,,Uplifted,Talkative,Giggly,Focused,Creative,Dry,,,,,,,,,,,,
Sour Kosher,Hybrid,4.5,21,Sour Diesel,Kosher Kush,,,Uplifted,Sleepy,Happy,Euphoric,Relaxed,Anxiety,,,,,,,,,,19%,,1%
Jungle Breath,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Cheeseburger,Hybrid,3.2,10,,,,,Uplifted,Tingly,Relaxed,Happy,Giggly,Dry,Anxious,Dizzy,Dry,,Pain,Inflammation,Arthritis,Depression,Eye,17%,,1%
Blowfish,Hybrid,4.2,42,G13,Blue Dot,,,Relaxed,Uplifted,Euphoric,Happy,Focused,Dry,Dry,Headache,,,Pain,Insomnia,Stress,Anxiety,Depression,,,
Cherry Slyder,Hybrid,4.9,8,Afghani,Northern Lights #5,,,Uplifted,Relaxed,Happy,Focused,Talkative,Dry,,,,,Anxiety,Pain,Anorexia,Gastrointestinal,Migraines,25%,—,
Sweeties,Hybrid,4.8,28,GSC,Tahoe OG,,,Euphoric,Uplifted,Relaxed,Happy,Aroused,Dry,Anxious,Dry,Paranoid,,Stress,Anxiety,Depression,Pain,Fatigue,22%,,1%
Modified Bananas,,4.6,17,,,,,Relaxed,Euphoric,Uplifted,Talkative,Happy,Stress,Insomnia,Anxiety,Cramps,Depression,,,,,,31%,,1%
Cherry Bomb,Hybrid,4.3,178,Hawaiian,North American Indica,Cherry Thunder Fuck,Cherry Haze,Happy,Uplifted,Relaxed,Energetic,Focused,Dry,Dry,Anxious,Dizzy,Headache,Stress,Pain,Anxiety,Depression,Fatigue,17%,—,
Grouch,Hybrid,4.5,2,,,,,,,,,,,,,,,,,,,,23%,—,
UltraViolet OG,Indica,4.7,36,Face Off OG,North American Indica,,,Relaxed,Happy,Uplifted,Sleepy,Euphoric,Dry,Dizzy,Dry,Paranoid,,Stress,Anxiety,Pain,Insomnia,Depression,18%,,1%
Sour Beer,,,,,,,,,,,,,,,,,,,,,,,20%,,1%
Dutch Apple,,,,,,,,,,,,,,,,,,,,,,,19%,,1%
Chem Driver,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Pineapple,Hybrid,,,,,,,,,,,,,,,,,,,,,,17%,—,
